一	m
幻	vs
幼	vs
幽	ui
幾	vi
序	in
庇	ip
床	id
庚	io
店	ir
府	ii
底	im
庖	iu
庠	iq
度	ie
庫	ij
庭	ig
座	ig
康	ie
庸	ib
庶	if
庵	iu
庾	io
廊	il
廁	in
廂	iu
廉	ic
廈	ie
廓	il
廖	ih
廢	ie
廚	ii
廟	ib
廝	il
廣	ic
廠	ik
龐	ip
廬	it
廳	ip
廷	ng
延	nm
建	nq
廿	t
弁	it
弄	mt
弈	yt
弊	ft
式	im
弒	km
弓	n
弔	nl
引	nl
弘	ni
弗	ln
弛	nd
弟	ch
弦	ni
弧	no
弩	vn
弭	nj
弱	nm
張	nv
強	ni
弼	nn
彆	fn
彈	nj
彌	nb
彎	vn
彗	qm
彙	vd
彞	nt
彤	bh
形	mh
彥	yh
彬	dh
彩	bh
彫	bh
彭	gh
彰	yh
影	ah
彷	hs
役	he
往	hg
征	hm
彿	hn
彼	he
很	hv
待	hi
徊	hr
律	hq
徇	ha
後	he
徒	ho
徑	hm
徐	hd
得	hi
徙	ho
從	ho
徘	hy
御	hl
復	he
循	hu
徨	hg
徬	hs
微	hk
徹	hk
德	hp
徵	hk
徽	hk
心	p
必	ph
忙	pv
忖	pi
忘	yp
忌	sp
志	gp
忍	sp
忱	pu
快	pk
忝	hp
忠	lp
忽	pp
念	op
忿	cp
怏	pk
怔	pm
怯	pi
怵	pc
怖	pb
怪	pg
怕	pa
怡	pr
性	pm
怒	vp
思	wp
怠	ip
急	np
怎	op
怨	np
恍	pu
恰	pr
恨	pv
恢	pf
恆	pm
恃	pi
恬	pr
恫	pr
恪	pr
恤	pt
恙	tp
恣	mp
恥	sp
恐	mp
恕	vp
恭	tp
恩	wp
息	hp
悄	pb
悟	pr
悚	pl
悍	pj
悔	py
悌	ph
悅	pu
悖	pd
恿	np
患	lp
悉	hp
悠	op
您	op
惋	pu
悴	pj
惦	pr
悽	pv
情	pb
悻	pj
悵	pv
惜	pa
悼	pj
惘	pv
惕	ph
惆	pr
惟	pg
悸	pd
惚	pp
惑	ip
惡	mp
悲	lp
悶	ap
惠	jp
愜	po
愣	ps
惺	pm
愕	ps
惰	pb
惻	pn
惴	pb
慨	pu
惱	pw
愎	pe
惶	pg
愉	pn
愀	pf
愚	wp
意	yp
慈	tp
感	ip
想	dp
愛	be
惹	tp
愁	hp
愈	op
慎	pc
慌	pu
慄	pd
慍	pt
愾	pd
愴	pr
愧	pi
慇	hp
愿	mp
態	ip
慷	pe
慢	pe
慣	pc
慟	ps
慚	pl
慘	ph
慶	ie
慧	qp
慮	yp
慝	sp
慕	tp
憂	me
慼	ip
慰	sp
慫	hp
慾	cp
憧	pg
憐	pq
憫	pk
憎	pa
憬	pf
憚	pj
憤	pc
憔	pf
憲	jp
憑	ip
憩	hp
憊	op
懍	pd
憶	pp
憾	pp
懂	pg
懊	pk
懈	pq
應	ip
懇	bp
懦	pb
懣	ep
懲	hp
懷	pv
懶	pc
懵	pu
懸	bp
懺	pm
懼	pg
懾	pj
懿	gp
戀	vp
戈	i
戊	ih
戎	ij
戌	im
戍	ii
成	is
戒	it
我	hi
或	im
戕	vi
戚	if
戛	mi
戟	ji
戡	ti
戢	ri
截	jg
戮	si
戰	ri
戲	yi
戴	jc
戳	si
戶	hs
房	hs
戾	hk
所	hl
扁	ht
扇	hm
扈	hu
扉	hy
手	q
才	dh
扎	qu
打	qn
扔	qs
扒	qc
扣	qr
扛	qm
托	qp
抄	qh
抗	qn
抖	qj
技	qe
扶	qo
抉	qk
扭	qg
把	qu
扼	qu
找	qi
批	qp
扳	qe
抒	qn
扯	qm
折	ql
扮	qh
投	qe
抓	qo
抑	ql
承	no
拉	qt
拌	qq
拄	qg
抿	qp
拂	qn
抹	qj
拒	qs
招	qr
披	qe
拓	qr
拔	qk
拋	qs
拈	qr
抨	qj
抽	qw
押	ql
拐	qh
拙	qu
拇	qi
拍	qa
抵	qm
拚	qt
抱	qu
拘	qr
拖	qd
拗	qs
拆	qy
抬	qr
拎	qi
拜	hj
挖	qn
按	qv
拼	qj
拭	qm
持	qi
拮	qr
拽	qp
指	qa
拱	qc
拷	qs
拯	qm
括	qr
拾	qr
拴	qg
挑	qo
拳	fq
挈	qq
拿	oq
捎	qb
挾	qo
振	qv
捕	qb
捂	qr
捆	qd
捏	qg
捉	qo
挺	qg
捐	qb
挽	qu
挪	ql
挫	qg
挨	qk
掠	qf
控	qm
捲	qu
掖	qk
探	qd
接	qv
捷	qo
捧	qq
掘	qu
措	qa
捱	qg
掩	qu
掉	qj
掃	qb
掛	qy
捫	qn
推	qg
掄	qb
授	qe
掙	qd
採	qd
掬	qd
排	qy
掏	qu
掀	qo
捻	qp
捩	qk
捨	qr
掣	hq
掌	fq
描	qw
揀	qf
揩	qa
揉	qd
揆	qk
揍	qk
插	qx
揣	qb
提	qo
握	qg
揖	qj
揭	qv
揮	qj
捶	qm
援	qe
揪	qf
換	qk
摒	qj
揚	qh
搓	qm
搾	qs
搞	qb
搪	qr
搭	qr
搽	qd
搬	qe
搏	qi
搜	qe
搔	qi
損	qc
搶	qr
搖	qu
搗	qu
撇	qk
摘	qb
摔	qj
撤	qk
摸	qk
摟	qv
摺	qa
摑	qm
摧	qg
摩	iq
摯	gq
摹	tq
撞	qg
撲	qo
撈	qs
撐	qh
撰	qc
撥	qe
撓	qu
撕	ql
撩	qf
撒	qk
撮	qe
播	qw
撫	qf
撚	qf
撬	qu
擅	qm
擁	qg
擋	qw
撻	qq
撼	qp
據	qo
擄	qs
擇	qj
擂	qw
操	qd
撿	qo
擒	qb
擔	qr
擎	tq
擊	jq
擘	sq
擠	qx
擰	qn
擦	qf
擬	qo
擱	qr
擴	qc
擲	ql
擾	qe
攆	qj
擺	qp
擻	qk
攀	dq
攏	qp
攘	qv
攔	qw
攙	qi
攝	qj
攜	qb
攤	qg
攣	vq
攫	qe
攪	qu
攬	qu
支	je
收	vk
改	sk
攻	mk
放	yk
政	mk
故	jk
效	yk
敝	fk
敖	gk
救	ik
教	jk
敗	bk
啟	hk
敏	ok
敘	ok
敞	fk
敦	yk
敢	mk
散	tk
敬	tk
敲	ye
敵	yk
敷	ik
數	lk
整	dm
斂	ok
斃	fp
文	yk
斑	mg
斐	lk
斗	yj
料	fj
斜	oj
斟	tj
斡	jj
斤	hl
斥	hy
斧	cl
斫	ml
斬	jl
斯	tl
新	yl
斷	vl
方	ys
於	yy
施	yd
旁	ys
旅	yv
族	yk
旋	yo
旌	ym
旎	yp
旗	yc
旖	yr
既	au
日	a
旦	am
早	aj
旨	pa
旬	pa
旭	ka
旱	aj
旺	ag
昔	ta
易	ah
昌	aa
昆	ap
昂	al
明	ab
昀	am
昏	ha
春	qa
昭	ar
映	ak
昧	ad
是	ao
星	am
昨	as
時	ai
晉	ma
晏	av
晃	au
晒	aw
晌	ar
晝	lm
晚	au
晤	ar
晨	av
晦	ay
普	ta
晰	al
晴	ab
晶	aa
景	af
暑	aa
智	oa
暗	aa
暉	aj
暇	ae
暈	aj
暖	ae
暢	lh
暨	am
暮	ta
暫	ja
暴	ae
曆	ma
曉	au
暹	yg
曙	aa
曖	ae
曠	ac
曝	ae
曦	as
曰	a
曲	tw
曳	lp
更	mk
曷	ao
書	la
曹	ta
勗	as
曾	ca
替	qa
會	oa
月	b
有	kb
服	be
朋	bb
朔	tb
朕	bk
朗	ib
望	yg
期	tb
朝	jb
朦	bo
朧	bp
木	d
朮	ic
本	dm
未	jd
末	dj
札	du
朽	ds
朴	dy
朱	hd
朵	hd
束	dl
李	dd
杏	dr
材	dh
村	di
杜	dg
杖	dk
杞	du
杉	dh
杭	dn
枋	ds
枕	du
東	dw
果	wd
杳	da
杷	du
枇	dp
枝	de
林	dd
杯	df
杰	df
板	de
枉	dg
松	di
析	dl
杵	dj
枚	dk
柿	db
染	ed
柱	dg
柔	nd
某	td
柬	df
架	kd
枯	dr
柵	dt
柩	do
柯	dr
柄	db
柑	dm
枴	dh
柚	dw
查	dm
枸	dr
柏	da
柞	ds
柳	dl
校	dk
核	do
案	jd
框	dg
桓	dm
根	dv
桂	dg
桔	dr
栩	dm
梳	du
栗	md
桌	yd
桑	ed
栽	jd
柴	yd
桐	dr
桀	nd
格	dr
桃	do
株	dd
桅	du
栓	dg
梁	ed
梯	dh
梢	db
梓	dj
梵	di
桿	dj
桶	db
梱	dd
梧	dr
梗	dk
械	dt
梃	dg
棄	yd
梭	de
梆	dl
梅	dy
梔	du
條	od
梨	hd
梟	hd
棺	dr
棕	df
棠	fd
棘	db
棗	db
椅	dr
棟	dw
棵	dd
森	dd
棧	di
棹	dj
棒	dq
棲	dv
棣	de
棋	dc
棍	dp
植	dm
椒	de
椎	dg
棉	db
棚	db
榔	dl
業	td
楚	do
楷	da
楠	dj
楔	dk
極	dm
椰	dl
概	du
楊	dh
楨	dc
楫	dj
