廂	xdiu
廉	lmic
廈	uaie
廈	xwie
廓	koil
廖	lcih
廢	fzie
廚	iuii
廟	mcib
廝	siil
廣	gdic
廠	ihik
龐	phip
廬	luit
廳	tyip
廷	tyng
延	yjnm
建	jmnq
廿	nmt
弁	bmit
弄	nsmt
弄	lsmt
弈	yiyt
弊	bift
式	uiim
弒	uikm
弓	gsn
弔	dcnl
引	ynnl
弘	hsni
弗	fuln
弛	iind
弟	dich
弟	tich
弟	tvch
弦	xmni
弧	huno
弩	nuvn
弭	minj
弱	ronm
張	vhnv
強	qdni
強	qdni
強	jdni
弼	binn
彆	bxfn
彈	djnj
彈	tjnj
彌	minb
彌	minb
彎	wjvn
彗	hvqm
彙	hvvd
彞	yint
彤	tsbh
形	xymh
彥	yjyh
彬	bndh
彩	clbh
彫	dcbh
彭	pggh
彭	bhgh
彰	vhyh
影	yyah
彷	phhs
彷	fhhs
役	yihe
往	whhg
征	vghm
彿	fuhn
彼	bihe
很	hfhv
待	dlhi
待	dlhi
徊	hyhr
律	lvhq
徇	xpha
後	hbhe
徒	tuho
徑	jyhm
徐	xuhd
得	dehi
得	dzhi
得	dehi
徙	xiho
從	csho
從	zsho
徘	plhy
御	yuhl
復	fuhe
循	xphu
徨	hdhg
徬	phhs
微	wzhk
徹	iehk
德	dehp
徵	vihk
徵	vghk
徽	hvhk
心	xnp
必	biph
忙	mhpv
忖	cppi
忘	whyp
忌	jisp
志	vigp
忍	rfsp
忱	ifpu
快	kypk
忝	tmhp
忠	vslp
忽	hupp
念	nmop
忿	ffcp
怏	yhpk
怔	vgpm
怯	qxpi
怵	iupc
怖	bupb
怪	gypg
怕	papa
怡	yipr
性	xypm
怒	nuvp
思	siwp
思	slwp
怠	dlip
急	jinp
怎	zfop
怨	yrnp
恍	hdpu
恰	qwpr
恨	hfpv
恢	hvpf
恆	hgpm
恃	uipi
恬	tmpr
恫	dspr
恪	kepr
恤	xupt
恙	yhtp
恣	zimp
恥	iisp
恐	ksmp
恕	uuvp
恭	gstp
恩	fwp
息	xihp
悄	qcpb
悄	qcpb
悟	wupr
悚	sspl
悍	hjpj
悔	hvpy
悌	tiph
悅	ytpu
悖	bzpd
恿	ysnp
患	hrlp
悉	xihp
悠	ybop
您	nnop
惋	wjpu
悴	cvpj
惦	dmpr
悽	qipv
情	qypb
悻	xypj
悵	ihpv
惜	xipa
悼	dkpj
惘	whpv
惕	tiph
惆	ibpr
惟	wzpg
悸	jipd
惚	hupp
惑	hoip
惡	emp
惡	wump
惡	emp
惡	wump
悲	bzlp
悶	mfap
悶	mfap
惠	hvjp
愜	qxpo
愣	lgps
惺	xypm
愕	eps
惰	dopb
惻	cepn
惴	vvpb
慨	klpu
惱	nkpw
愎	bipe
惶	hdpg
愉	yupn
愉	tbpn
愀	qcpf
愚	yuwp
意	yiyp
慈	citp
感	gjip
想	xddp
愛	lbe
惹	retp
愁	ibhp
愈	yuop
慎	ufpc
慌	hdpu
慄	lipd
慍	yppt
愾	klpd
愾	xipd
愴	idpr
愧	kvpi
慇	ynhp
愿	yrmp
態	tlip
慷	khpe
慢	mjpe
慣	grpc
慟	tsps
慚	cjpl
慘	cjph
慶	qyie
慧	hvqp
慮	lvyp
慝	tesp
慕	mutp
憂	ybme
慼	qiip
慰	wzsp
慫	sshp
慾	yucp
憧	ispg
憐	lmpq
憫	mnpk
憎	zgpa
憬	jypf
憚	djpj
憚	dapj
憤	ffpc
憔	qcpf
憲	xmjp
憑	pyip
憩	qihp
憊	bzop
懍	lnpd
憶	yipp
憾	hjpp
懂	dspg
懊	kpk
懈	xxpq
應	yyip
應	yyip
懇	kfbp
懦	nopb
懣	mfep
懲	ighp
懷	hypv
懶	ljpc
懵	mgpu
懸	xrbp
懺	ijpm
懼	jupg
懾	uepj
懿	yigp
戀	lmvp
戈	gei
戊	wuih
戎	rsij
戌	xuim
戍	uuii
成	igis
戒	jxit
我	wohi
或	hoim
戕	qdvi
戚	qiif
戛	jwmi
戟	jiji
戡	kjti
戢	jiri
截	jxjg
戮	lusi
戰	vjri
戲	xiyi
戲	huyi
戴	dljc
戳	iosi
戶	huhs
房	fhhs
房	phhs
戾	lihk
所	sohl
扁	bmht
扁	pmht
扇	ujhm
扇	ujhm
扈	huhu
扉	fzhy
手	ubq
才	cldh
扎	zaqu
扎	vaqu
扎	vaqu
打	daqn
打	daqn
扔	rgqs
扒	baqc
扒	paqc
扣	kbqr
扛	khqm
扛	ghqm
托	toqp
抄	ikqh
抗	khqn
抖	dbqj
技	jiqe
扶	fuqo
抉	jtqk
扭	nqqg
把	baqu
把	baqu
扼	equ
找	vkqi
批	piqp
扳	bjqe
抒	uuqn
扯	ieqm
折	veql
折	veql
折	ueql
扮	bjqh
投	tbqe
抓	vwqo
抑	yiql
承	igno
拉	laqt
拉	laqt
拌	bjqq
拌	pjqq
拄	vuqg
抿	mnqp
拂	fuqn
拂	biqn
抹	moqj
抹	moqj
抹	maqj
拒	juqs
招	vkqr
披	piqe
拓	toqr
拓	taqr
拓	viqr
拔	baqk
拋	pkqs
拈	nmqr
抨	pgqj
抽	ibqw
押	yaql
拐	gyqh
拙	voqu
拇	muqi
