一	yī
评	píng
补	bǔ
初	chū
社	shè
祀	sì
识	shí
识	zhì
诈	zhà
诉	sù
罕	hǎn
诊	zhěn
词	cí
译	yì
君	jūn
灵	líng
即	jí
层	céng
屁	pì
尿	niào
尿	suī
尾	wěi
尾	yǐ
迟	chí
局	jú
改	gǎi
张	zhāng
忌	jì
际	jì
陆	lù
陆	liù
阿	ā
阿	ē
陈	chén
阻	zǔ
附	fù
坠	zhuì
妓	jì
妙	miào
妖	yāo
姊	zǐ
妨	fáng
妒	dù
努	nǔ
忍	rěn
劲	jìn
劲	jìng
矣	yǐ
鸡	jī
纬	wěi
驱	qū
纯	chún
纱	shā
纲	gāng
纳	nà
驳	bó
纵	zòng
纵	zǒng
纷	fēn
纸	zhǐ
纹	wén
纹	wèn
纺	fǎng
驴	lǘ
纽	niǔ
奉	fèng
玩	wán
环	huán
武	wǔ
青	qīng
责	zé
责	zhài
现	xiàn
玫	méi
表	biǎo
规	guī
抹	mǒ
抹	mò
抹	mā
卦	guà
坷	kē
坷	kě
坯	pī
拓	tuò
拓	tà
拓	zhí
拢	lǒng
拔	bá
坪	píng
拣	jiǎn
坦	tǎn
担	dān
担	dàn
担	dǎn
坤	kūn
押	yā
抽	chōu
拐	guǎi
拖	tuō
者	zhě
拍	pāi
顶	dǐng
拆	chāi
拆	cā
拎	līn
拥	yōng
抵	dǐ
拘	jū
拘	gōu
势	shì
抱	bào
拄	zhǔ
垃	lā
拉	lā
拉	lá
拦	lán
幸	xìng
拌	bàn
拌	pàn
拧	níng
拧	nǐng
拧	nìng
拂	fú
拂	bì
拙	zhuō
招	zhāo
坡	pō
披	pī
拨	bō
择	zé
择	zhái
抬	tái
拇	mǔ
拗	ǎo
拗	ào
拗	niù
其	qí
其	jī
取	qǔ
茉	mò
苦	kǔ
昔	xī
苛	kē
苛	hē
若	ruò
若	rě
茂	mào
苹	píng
苹	pēng
苗	miáo
英	yīng
苟	gǒu
苑	yuàn
苞	bāo
范	fàn
直	zhí
茁	zhuó
茄	qié
茄	jiā
茎	jīng
苔	tái
苔	tāi
茅	máo
枉	wǎng
